Caption,Name,Description,InstallSource
Microsoft .NET Framework 4.8 SDK,Microsoft .NET Framework 4.8 SDK,Microsoft .NET Framework 4.8 SDK,C:\Windows\Installer\1bb96a7.msi
Microsoft TestPlatform SDK Local Feed,Microsoft TestPlatform SDK Local Feed,Microsoft TestPlatform SDK Local Feed,C:\Windows\Installer\1cfeb16.msi
Microsoft Visual Studio Setup Configuration,Microsoft Visual Studio Setup Configuration,Microsoft Visual Studio Setup Configuration,C:\Windows\Installer\1bb964d.msi
Microsoft Windows Desktop Runtime - 6.0.7 (x86),Microsoft Windows Desktop Runtime - 6.0.7 (x86),Microsoft Windows Desktop Runtime - 6.0.7 (x86),C:\Windows\Installer\1c4b202.msi
icecap_collectionresourcesx64,icecap_collectionresourcesx64,icecap_collectionresourcesx64,C:\Windows\Installer\1db53ba.msi
Microsoft .NET Runtime - 6.0.7 (x64),Microsoft .NET Runtime - 6.0.7 (x64),Microsoft .NET Runtime - 6.0.7 (x64),C:\Windows\Installer\1c4b1ee.msi
vs_minshellinteropx64msi,vs_minshellinteropx64msi,vs_minshellinteropx64msi,C:\Windows\Installer\1bb9684.msi
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005,Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005,Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005,C:\Windows\Installer\171d6118.msi
vs_clickoncesigntoolmsi,vs_clickoncesigntoolmsi,vs_clickoncesigntoolmsi,C:\Windows\Installer\1c4b1a3.msi
vs_SQLClickOnceBootstrappermsi,vs_SQLClickOnceBootstrappermsi,vs_SQLClickOnceBootstrappermsi,C:\Windows\Installer\1c4b19e.msi
vs_FileTracker_Singleton,vs_FileTracker_Singleton,vs_FileTracker_Singleton,C:\Windows\Installer\1bb967a.msi
Python 3.10.5 pip Bootstrap (64-bit),Python 3.10.5 pip Bootstrap (64-bit),Python 3.10.5 pip Bootstrap (64-bit),C:\Windows\Installer\ade9bec.msi
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005,Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005,Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005,C:\Windows\Installer\171d6113.msi
Microsoft .NET AppHost Pack - 6.0.7 (x64_arm64),Microsoft .NET AppHost Pack - 6.0.7 (x64_arm64),Microsoft .NET AppHost Pack - 6.0.7 (x64_arm64),C:\Windows\Installer\1c4b1da.msi
Microsoft.NET.Sdk.tvOS.Manifest-6.0.300,Microsoft.NET.Sdk.tvOS.Manifest-6.0.300,Microsoft.NET.Sdk.tvOS.Manifest-6.0.300,C:\Windows\Installer\1cfeb11.msi
Microsoft Windows Desktop Targeting Pack - 6.0.7 (x86),Microsoft Windows Desktop Targeting Pack - 6.0.7 (x86),Microsoft Windows Desktop Targeting Pack - 6.0.7 (x86),C:\Windows\Installer\1c4b20c.msi
vs_tipsmsi,vs_tipsmsi,vs_tipsmsi,C:\Windows\Installer\1c4b1ad.msi
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.32.31332,Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.32.31332,Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.32.31332,C:\Windows\Installer\1c4b175.msi
VS JIT Debugger,VS JIT Debugger,VS JIT Debugger,C:\Windows\Installer\1db53d3.msi
vs_devenx64vmsi,vs_devenx64vmsi,vs_devenx64vmsi,C:\Windows\Installer\1bb968e.msi
VS Immersive Activate Helper,VS Immersive Activate Helper,VS Immersive Activate Helper,C:\Windows\Installer\1db53d8.msi
Python 3.10.5 Documentation (64-bit),Python 3.10.5 Documentation (64-bit),Python 3.10.5 Documentation (64-bit),C:\Windows\Installer\ade9bdd.msi
Python Launcher,Python Launcher,Python Launcher,C:\Windows\Installer\86fc2c0e.msi
Microsoft System CLR Types для SQL Server 2019,Microsoft System CLR Types для SQL Server 2019,Microsoft System CLR Types для SQL Server 2019,C:\Windows\Installer\1c4b16a.msi
IntelliTraceProfilerProxy,IntelliTraceProfilerProxy,IntelliTraceProfilerProxy,C:\Windows\Installer\1c4b1b7.msi
